Teams,Atlético Mineiro,River Plate,Botafogo,Peñarol
Al-Hilal,62468.58,60957.97,57232.84,51514.03
Al Ain,68544.28,66788.33,63020.84,56839.14
Yokohama F. Marinos,75909.22,72449.34,70632.33,62840.8
Al Ahly,35552.51,35217.02,31965.03,28738.19
ES Tunis,43154.17,42542.18,39030.06,34965.04
Mamelodi Sundowns,46608.43,44457.46,41820.16,36277.16
Pachuca,53908.6,50680.8,49128.5,42110.01
América,61918.17,58385.32,56705.7,49023.53
Monterrey,62520.86,59139.63,57321.89,49758.83
Columbus Crew,62514.16,59894.84,57369.52,50442.21
Auckland City,164041.35,156048.25,154611.32,139716.68
Pirae,165775.12,157991.54,156425.49,141556.18
Real Madrid,9357.13,10980.3,8831.14,10006.05
Manchester City,13052.34,14245.32,11960.04,12198.03
Bayern Munchen,14072.67,15241.59,12806.83,12910.63
Borussia Dortmund,15037.83,16087.03,13629.91,13475.35
