Team 1,Team 2,Score,Penalty
Simba SC,Al Ahly,0-3,-
Petro de Luanda,TP Mazembe,1-2,-
ES Tunis,ASEC Mimosas,0-0,4-2
Young Africans,Mamelodi Sundowns,0-0,3-2
ES Tunis,Mamelodi Sundowns,2-0,-
TP Mazembe,Al Ahly,0-3,-
ES Tunis,Al Ahly,0-1,-
