Team 1,Team 2,Score,Penalty
San Lorenzo,Atlético Mineiro,1-2,-
Nacional,São Paulo,0-2,-
Flamengo,Bolívar,2-1,-
Colo-Colo,Junior,3-1,-
Talleres,River Plate,1-3,-
Peñarol,The Strongest,4-1,-
Botafogo,Palmeiras,4-3,-
Grêmio,Fluminense,3-3,2-4
Fluminense,Atlético Mineiro,1-2,-
Botafogo,São Paulo,1-1,5-4
Flamengo,Peñarol,0-2,-
Colo-Colo,River Plate,1-2,-
Atlético Mineiro,River Plate,3-0,-
Botafogo,Peñarol,6-3,-
Atlético Mineiro,Botafogo,1-3,-
