RK,Team,Total Points,Previous Points,+/-,Match window,More
1,ArgentinaARG,1855.2,1855.2,-,,
5,BrazilBRA,1784.09,1784.09,-,,
11,UruguayURU,1665.99,1665.99,-,,
141,ColombiaCOL,1655.29,1651.2,+4.09,WW,
32,EcuadorECU,1519.2,1519.2,-,,
35,PeruPER,1512.68,1512.68,-,,
40,ChileCHI,1489.82,1489.82,-,,
501,VenezuelaVEN,1447.2,1448.77,-1.57,L,
53,ParaguayPAR,1430.73,1430.73,-,,
85,BoliviaBOL,1284.55,1284.55,-,,
