Rank,Team,Elo Rating
1,Al Ahly,857.56
2,ES Tunis,833.34
3,Mamelodi Sundowns,822.03
4,Petro de Luanda,820.48
5,TP Mazembe,813.81
6,CR Belouizdad,813.29
7,Wydad Casablanca,808.39
8,Simba SC,807.66
9,Young Africans,807.48
10,ASEC Mimosas,806.85
11,Pyramids FC,792.04
12,Al-Hilal Omdurman,785.79
13,Nouadhibou,785.33
14,Étoile du Sahel,778.89
15,Jwaneng Galaxy,777.4
16,Medeama,764.53
