Rank,Team,Elo Rating
1,Auckland City,839.69
2,Pirae,834.41
3,Rewa,814.68
4,AS Magenta,807.5
5,Hekari United,792.5
6,Ifira Black Bird,792.5
7,Solomon Warriors,778.15
8,Vaivase-Tai FC,777.82
